英雄,分类结果,定位
庄周,0,辅助
牛魔,0,坦克
项羽,0,坦克
刘禅,0,坦克
刘邦,0,坦克
廉颇,0,坦克
白起,0,坦克
扁鹊,1,法师
高渐离,1,法师
张良,1,法师
嬴政,1,法师
姜子牙,1,法师
大乔,1,辅助
甄姬,1,法师
妲己,1,法师
干将莫邪,1,法师
周瑜,1,法师
王昭君,1,法师
诸葛亮,1,法师
小乔,1,法师
武则天,1,法师
蔡文姬,1,辅助
安琪拉,1,法师
貂蝉,1,法师
橘石京,2,刺客
阿轲,2,刺客
关羽,2,战士
老夫子,2,战士
吕布,2,战士
曹操,2,战士
亚瑟,2,战士
花木兰,2,战士
宫本武藏,2,战士
芈月,2,法师
东皇太一,3,坦克
雅典娜,3,战士
李白,3,刺客
露娜,3,战士
刘备,4,战士
韩信,4,刺客
百里守约,4,射手
后羿,4,射手
成吉思汗,4,射手
虞姬,4,射手
狄仁杰,4,射手
黄忠,4,射手
孙尚香,4,射手
李元芳,4,射手
鲁班七号,4,射手
钟馗,5,法师
太乙真人,5,辅助
张飞,6,坦克
程咬金,6,坦克
不知火舞,7,法师
马可波罗,7,射手
孙膑,8,辅助
杨戬,8,战士
达摩,8,战士
墨子,8,法师
典韦,8,战士
鬼谷子,8,辅助
铠,8,战士
哪吒,8,战士
钟无艳,8,战士
夏侯惇,8,坦克
孙悟空,9,战士
赵云,9,战士
娜可露露,9,刺客
兰陵王,9,刺客
